词条,创建年,摘要
大聪明,2021,摘要： 大聪明的意思大聪明这个词出自一部电影《西虹市首富》里面的一个人物角色。这个“呆萌傻傻”的大聪明，其实并不是很聪明，但是在电影中却误打误撞做了很多聪明的事情。然而现实中却没有运气这么好的人，大聪明指的是自
神马都是浮云,2015,"摘要： 没有什么困难是不可以克服的,因为---神马都是浮云..."
矮大紧,2018,摘要： 经常看到大家刷“矮大紧”三个字，乍一听到的时候马上就联想到了了什么不得了的东西，那画面太美实在是不敢细想了，那么到底“矮大紧”是什么意思，“矮大紧”是什么梗，一起来看看吧
单身狗,2019,摘要： 就是单身的意思，加上“狗”字表现一种更为凄惨的感觉，好像只能像狗一样蹲在路边看路过的情侣。
是个狼人,2019,摘要： 是个狼人是今年很火的网络流行语，&nbsp;一般用于表示惊讶、赞叹、佩服等等&nbsp;语境中，这句话是由“是个狠人”演变出&nbsp;来的，因为狼字比狠字多一点，比狠&nbsp;人还要狠一点所以被称为
范儿,2014,摘要： 哎呀你Y的又随地小便了，真是很有流氓范儿啊
口头禅性格,2019,摘要： 口头禅性格，是指口头禅可以反应人的性格，揭示一个人的心理状态。常见的口头禅中，郁闷、无聊、犯扯、没意思之类表达负性情绪的词语占了一大半。很多人说，它反映了这样的社会现状：工作节奏太快，生活压力太大，年轻
拎的清,2019,摘要： 指能分清手里拎的什么垃圾的上海人
马季洗裤袜,2019,摘要： 日语「まじひくわー」的协音，*上查到，在动画片《约会大作战中》比较出名吧，大概在第一季的第八话里四系乃的可爱的姿态承现画面时候，有一句「まじひく可爱いわー」的台词，字面意思是恶心的可爱，大概说非常可爱吧
父爱如山体滑坡,2019,摘要： 父爱如山体滑坡的来源和意思用来表示父亲对儿子的态度不好，父爱如山的反义词。来源于动漫《凹凸世界》中紫堂幻父亲对其失望的一系列表现时刷的弹幕。
裸捐,2014,摘要： 比起部分捐，裸捐精神显然更令我们肃然起敬
街拍,2019,摘要： 街拍的来源和意思现多指国内网红为博取网友关注，在与摄影师沟通剧本后，进行的即兴表演。街拍即街头拍摄的意思，起源于欧洲杂志文化。拍摄目的主要是为了捕捉街头时尚达人的服装细节；后再搭配摄影师后期构图与色调，
大趴,2014,摘要： 明星大咖、各种大妞、土豪和富二代和豪车...真是典型的大趴啊
肉里分,2019,摘要： 肉里分的来源和意思肉里分肉里分的使用例句肉里分的英文翻译
童年报复性补偿,2019,摘要： 用来形容许多成年人童年时被无情抑制住了买玩具的欲望，在成年实现财务自由之后，对自己进行报复性补偿的症状。一年有7000万成年人在淘宝给自己买玩具，深度乐高玩家一年花费1200万。
我要o泡,2021,摘要： “我要o泡”来自一次网络事件，一个名为“送给最好的ta”的apk文件被疯传，打开它的手机会循环以最大音量播放o泡果奶广告歌，使人当场社会性死亡，被网友发掘成为网络热梗之一
听我的，我说了算,2019,摘要： 听我的，我说了算的来源和意思黄晓明在综艺《中餐厅》里面的名台词。情景还原：黄晓明与节目里的嘉宾以及大厨讨论餐品的套餐设定，嘉宾们都觉得单点比较合适，黄晓明执意要求一定要做套餐~巴拉巴拉的，然后大厨也反对
大王好短,2020,摘要： 大王好短的来源和意思用于感叹国漫大王不高兴每集时长过短。不止是大王不高兴，大部分国漫的通病特点就是时长短，一集大概7分钟的样子。出去OP和ED，正片大概就5分钟的样子。相比日漫的24分钟显得太短。（然而
瑶妹七米一,2019,摘要： 七米一这个梗来自敛芳尊金光瑶，瑶妹官方身高一米七，就连聂导的身高都不只这个数，相比其他人动不动就一米八几的身高，瑶妹估计是太聪明，顾不及身高了。
泥鳅哥,2020,摘要： 泥鳅哥的来源和意思是指游戏主播炫神。是另一个游戏主播包子给他起的外号。炫神的一个粉丝牛崽（炫神id叫准时不早退的炫神，牛崽的id叫准时不早退的牛崽）在前几天说要爆包子的料，然后放出了几张聊天截图，意思是
得瑟,2014,"摘要： 小样,你得瑟个球啊"
安排的明明白白,2018,摘要： 安排的明明白白作为网络流行语，指的并非是被人把事情安排妥当这层意思，那么这里究竟指的是什么含义呢，流行语百科带你解读
红客,2014,摘要： 红旗下的黑客哦也
萌,2015,"摘要： 这女孩太萌了,我喜欢."
米虫人生,2019,摘要： 米虫人生的来源和意思是指像大米里的蛀虫——米虫一样的人生。米虫是一种寄居在大米、小麦等谷物里的蛀虫。 因为米虫寄居在谷物内，每天没有什么事情需要做，又衣食无忧。所以人们将米虫人生指不用工作、不用努力又衣
NPC精神,2019,摘要： NPC精神的来源和意思NPC指的是游戏中的“非玩家角色”，也就是一些系统人物，这些人物的一个最大特点就是不会主动跟玩家说话，一般都在一个固定的点等着，只有玩家主动上去点击后才会跟你聊天。那么NPC精神指
我们白着呢,2019,摘要： 我们白着呢的来源和意思我们皮肤很白呢，才不是“黑皮肤”的人哦。出自浙江卫视的亲子综艺节目《爸爸回来了》中，贾乃亮的女儿贾云馨（甜馨）的经典语录。甜馨一家人在一起吃饭，聊到了谁长得比较黑，甜馨的爷爷故意对
醉了,2017,摘要： 卧槽，看你这猪一样的配合，我也是醉了。。。
18碗孟婆汤,2020,摘要： 18碗孟婆汤的来源和意思出自网络上的各种故事。开头是：“奈何桥上，一位男孩已经喝了十八碗孟婆汤了，孟婆见了阻止他: 够了 ，别喝了，男孩已经哭红了眼睛看向孟婆，对孟婆吼道：”。原版不可追溯，网友们在后面
放鸽子,2014,摘要： 被放鸽子了哎
我是自愿来上学的,2019,摘要： 上学乃人生一大苦事也，开学路上大有〝虽千万人吾往矣〞的仪式感（当然数以N计的小哥哥小姐姐们陪你同甘共苦呢）
淑芬,2019,摘要： 淑芬的来源和意思“书粉”的另一种说法，一般特指某文学作品原著的粉丝，常见于小说影视化后相关粉丝和爱好者的讨论中。由于小说爱好者和影视爱好者（包括演员粉丝）对影视作品的评判重点、期待值和审美情趣经常差距巨
a货,2014,摘要： 正品买不起，就买双可以以假乱真的a货了嘿嘿
