打脸且翻车,打脸且翻车是什么梗打脸且翻车，说的是一卖芒果的主播带货芒果却惨遭打脸，形成反向带货的名场面。打脸且翻车，是视频中主播给大家展示芒果，当场切开芒果以证明自己卖的货是最优秀的，结果切开的时候翻了车，芒果里面已经黑了……，他只好强行挽尊道：这种的，我们都是做肥料…于是，打脸且翻车这个梗就出来了。
延边八爪鱼,延边八爪鱼是什么梗延边八爪鱼，是最近在抖音火起来的一种舞蹈，这个舞蹈尤其魔性，没有统一的舞蹈规范，只需要像个章鱼一样晃动手臂就可以了。延边八爪鱼，是始于延边地区的10年左右流行一种舞蹈，因为跳起来摇头晃脑，四肢和躯干都要扭起来，但是又毫无章法，神似八爪鱼舞动触手，十分魔性。因为舞蹈始于延边地区，然后在抖音上火起来，引起了网友们的模仿，于是被网友们称为延边八爪鱼舞。延边八爪鱼，真正的名字叫宅舞，是起源于韩国的一个舞蹈，延边有很多朝鲜族，很多人在韩国那边打工，然后回来的时候就把这个舞蹈带回来了。称为宅
ball ball you,ball ball you是什么梗ball ball you，是网络用语，表示“求求你”的意思。ball ball you，ball是球的意思，谐音求，you是你，ball ball you逐字翻译就是： 球 球 你，谐音求求你。例句：高数真的太难了！ball ball you，放过孩子吧！
60e,60e是什么梗60e，谐音60亿，是英雄联盟中的一个梗，指的是英雄联盟战队WE拥有60亿的粉丝。我们知道全球人口也就60亿，也就是说全世界的人都是WE粉，也称之为宇宙粉。这是一个夸大其词的说法，表达的意思是其人气旺盛，拥有的粉丝数量也是很庞大的。当一个人对自己的偶像喜欢到了极致、疯狂甚至变态的地步，那多半就可以称之为60e了。60e这个热词发源于体育圈，深深影响娱乐圈，甚至蔓延到了电竞圈。因为WE的粉丝被称为“60E”，所以后来网友们便称OMG电子竞技俱乐部的粉丝称为“59E”，意为仅次于当年的W
输的什么液想你的夜,输的什么液想你的夜是什么梗输的什么液想你的夜，是近几天网友们被一句话给刷屏，那就是“输的什么液，想你的夜”。看到这句话，很多人第一反应就是土味情话。输的什么液想你的夜，这个梗其实是来自王思聪跟孙一宁的聊天截图，原话是这样的：“宝，我今天去输液了。输的什么液？想你的夜。”近日，王思聪与孙一宁网上互怼的事闹得沸沸扬扬，这一语录被曝光后，受到了网友们的疯狂玩梗。网友们的举一反三：宝 我今天去输液了&amp;nbsp;输的什么液&amp;nbsp;想你的夜宝 我今天去种地了 种的什么地 对你的死心塌地宝 我今天去吃面了
菜是原罪,菜是原罪是什么梗菜是原罪，是指实力差是最大的罪恶。全句为电子竞技，菜是原罪。菜是原罪，这句话出自英雄联盟职业选手草莓。2018年的夏季赛，WE战队接连失利，粉丝非常失望，很多网友指责WE是垃圾队伍。作为WE战队的老队员，草莓在微博是发表了这句话，表达了自己理解粉丝的心情，在电子竞技赛事中，成绩是最重要的因素。现在菜是原罪这句话可以用在各行各业，也可以用这句话鞭挞自己进步。
沉浸式约饭,沉浸式约饭是什么梗沉浸式约饭，是约饭的两个以上的人，各吃各的菜，各玩各的手机，不用应酬彼此，有那么些瞬间恍惚忘记对面还有一个或者几个一起吃饭的人，主要是这么各干各的还心里毫无愧疚。沉浸式约饭，是和无需回应式友情一样，心无旁骛吃东西，不用刻意表现和维系关系。沉浸式约饭，一般都是发生在熟悉的人之间，比如：夫妻、男女朋友，一家人、闺蜜、哥们以及经常聚会的同学、朋友之间。比如，和你亲近熟悉的亲朋好友约饭就可以各吃各的，埋头认认真真干饭。
还不曾去过倒悬山,还不曾去过倒悬山是什么梗还不曾去过倒悬山，指的是遗憾。还不曾去过倒悬山，出自烽火戏诸侯的玄幻小说《剑来》，其中有一段是：“人生路上有些事，不单单是男女情爱，其实还有很多的遗憾，就像一个人身在剑气长城（小说设定），却不曾去过倒悬山”。引申没去看过剑气长城之外的景象，心里遗憾。原文里说的是剑气长城距离倒悬山很近，都是身在剑气长城的人一辈子都没去过倒悬山。这其中的倒悬山并不是现实生活中的某座山，是虚构的。还不曾去过倒悬山，可以延伸为很多人忙忙碌碌一生却囿于原地，风景没有看过，人生就很遗憾
剧怒症,剧怒症是什么梗剧怒症，是指大家看到电视剧中超级不合常理的或者让人心塞的剧情时，会感到由内而外的愤怒，这种症状在看现代剧时更为明显。微博作者“小梅妮卡”在6月8日发微博称：我现在看到电视剧里刚毕业的主人公，家里也没矿，实习的时候就一个人住北上广市区里的大开间，我就开始愤怒。这大概就是剧怒症。类似的还有在医院里把白大褂当风衣穿、穿着高跟鞋在医院里噔噔跑。随着最近的使用，剧怒症已经泛化为指：看到剧里任何让自己不爽的剧情会很生气。
高街女帝,高街女帝是什么梗高街女帝，是现在网络上比较流行的一个梗，指的是一种拍照姿势，指从脖子部分开始从上向下俯拍，小腿向后弯，手肘藏在身体后，单手比耶的一种自拍姿势，这种拍照姿势被众多人玩梗。最近在抖音上火起来一些小姐姐的自拍照，风格是“高街女帝”。所谓的高街女帝就是目前在各大短视频平台上流行起来的一种女性拍照的姿势，就是从脖子部位往下拍，一边的小腿后翘，露出腰部和部分臀部，手肘藏在后面比个耶的姿势，主要这样自拍会显得比较显身材。高街这个词算是时尚圈的说法，英文“high street”这一词很直白，这个
希望你永远不懂,希望你永远不懂是什么梗希望你永远不懂，是网上有一个梗很火，那就是前面说一段很矫情的话，最后加上一句“希望你永远不懂”。希望你永远不懂，这句话的潜在意思是“希望你没有经历过我已经经历过的这些伤心事”，因为总是会有很多人分享一些自己觉得很难过的事、凄美的爱情故事或者一些矫情语录，最后加上一句希望你永远不懂。希望你永远不懂，这个句式本来的意思是希望某些未经世事的人们，能够了解一些他们还没有看到的经历。可是，后来这句话渐渐失去了原来的意思，其实就是矫情，或者说就是“网抑云”，故意说一些似是而非的话，其实都
肌肉金轮,肌肉金轮是什么梗肌肉金轮，是有一名视频up住通过AI换脸的功能将一位国外肌肉猛男的脸与LOL知名主播大司马进行换脸，不停的展示自己的身材，非常的sao，并且各种微表情都非常贴合，看起来毫无违和感。肌肉金轮，是因为大司马的名字带金，所以这位up主把这个结合的“产物”取名为【肌肉金轮】，于是这个梗就火起来了。
炸洗我了,炸洗我了是什么梗炸洗我了，也就是“炸死我了”的谐音。炸洗我了，这个梗出自一名视频作者【武连压】，这位视频作者在视频中模仿与知名rapper掰头的时候总是可以说出一些让人意想不到的韵脚，由于整段表演效果都很炸，所以观众不停发出“炸洗我了”的感叹，于是就有了这个梗的诞生。
